Flight Number,DEP. ICAO,ARR ICAO,Aircraft,Route Type,Duration,Rank,Notes
SU9910,UUEE,ZKPY,B77W,Passenger,,Cadet,
SU1220,UUEE,UWGG,"A320,A321",Passenger,0:50,,
SU1224,UUEE,UWGG,A320,,0:50,,
SU1226,UUEE,UWGG,"A320,A20N",,0:50,,
SU1221,UWGG,UUEE,"A320,A321",,0:55,,
SU1225,UWGG,UUEE,A320,,0:55,,
SU1227,UWGG,UUEE,"A320,A20N",,0:55,,
SU39,ULLI,UUEE,B738,,1:00,,
SU1544,UUEE,UWPP,A320,,1:00,,
SU13,ULLI,UUEE,"A320,A321,A21N",,1:05,,
SU14,UUEE,ULLI,"A320,A321",,1:05,,
SU38,UUEE,ULLI,B738,,1:05,,
SU1268,UUEE,UWKD,"A320,A20N,A321,B738",,1:05,,
SU1370,UUEE,UUOB,A320,,1:05,,
SU1371,UUOB,UUEE,A320,,1:05,,
SU1830,UUEE,UMMS,"A320,B738",,1:05,,
SU1842,UUEE,UMMS,"A320,A20N,A321,B738",,1:05,,
SU1843,UMMS,UUEE,"A320,A20N,A321,B738",,1:05,,
SU1190,UUEE,UWKD,"A320,A20N,A321,B738",,1:10,,
SU1192,UUEE,UWKD,"A320,A20N,A321,A21N,B738",,1:10,,
SU1194,UUEE,UWKD,"A320,A321",,1:10,,
SU1198,UUEE,UWKD,"A320,A321",,1:10,,
SU1270,UUEE,UWKD,"A320,A321",,1:10,,
SU1276,UUEE,UWKD,"A320,A20N,A321,B738",,1:10,,
SU1278,UUEE,UWKD,"A320,A321",,1:10,,
SU1286,UUEE,UWLL,"A320,A321,B738",,1:10,,
SU1288,UUEE,UWLL,"A320,A321",,1:10,,
SU1290,UUEE,UWKD,"A320,A20N,A321",,1:10,,
SU1388,UUEE,UWLL,A320,,1:10,,
SU1831,UMMS,UUEE,"A320,B738",,1:10,,
SU1832,UUEE,UMMS,"A320,A321",,1:10,,
SU1834,UUEE,UMMS,A320,,1:10,,
SU1835,UMMS,UUEE,A320,,1:10,,
SU2958,URSS,URML,A320,,1:10,,
SU2959,URML,URSS,A320,,1:10,,
SU1210,UUEE,UWWW,"A320,A321",,1:15,,
SU1218,UUEE,UWWW,"A320,A321,B738",,1:15,,
SU1289,UWLL,UUEE,"A320,A321",,1:15,,
SU1545,UWPPP,UUEE,A320,,1:15,,
SU1833,UMMS,UUEE,"A320,A321",,1:15,,
SU774,URSS,UDYZ,A320,,1:20,,
SU775,UDYZ,URSS,A320,,1:20,,
SU1193,UWKD,UUEE,"A320,A20N,A321,A21N,B738",,1:20,,
SU1195,UWKD,UUEE,"A320,A321",,1:20,,
SU1199,UWKD,UUEE,"A320,A321",,1:20,,
SU1212,UUEE,UWWW,"A320,A20N,A321,B738",,1:20,,
SU1214,UUEE,UWWW,"A320,A321",,1:20,,
SU1216,UUEE,UWWW,"A320,A321",,1:20,,
SU1252,UUEE,UWKE,A320,,1:20,,
SU1271,UWKD,UUEE,"A320,A321",,1:20,,
SU1277,UWKD,UUEE,"A320,A20N,A321,B738",,1:20,,
SU1279,UWKD,UUEE,"A320,A321",,1:20,,
SU1287,UWLL,UUEE,"A320,A321,B738",,1:20,,
SU1356,UUEE,UWSG,"A320,A321",,1:20,,
SU1357,UWSG,UUEE,"A320,A321",,1:20,,
SU1358,UUEE,UWSG,"A320,A20N,A321",,1:20,,
SU1359,UWSG,UUEE,"A320,A20N,A321",,1:20,,
SU1389,UWLL,UUEE,A320,,1:20,,
SU1604,UUEE,UWWW,"A320,A321,A21N",,1:20,,
SU1684,UUEE,UWWW,"A320,B738",,1:20,,
SU2104,UUEE,EYVI,A320,,1:20,,
SU2105,EYVI,UUEE,A320,,1:20,,
SU2845,UMKK,ULLI,A302,,1:20,,
SU614,URSS,UDYZ,A320,,1:25,,
SU615,UDYZ,URSS,A320,,1:25,,
SU1250,UUEE,UWKE,"A320,A321,B738",,1:25,,
SU1269,UWKD,UUEE,"A320,A20N,A321,B738",,1:25,,
SU1291,UWKD,UUEE,"A320,A20N,A321",,1:25,,
SU1390,UUEE,UUYY,"A320,A20N,B738",,1:25,,
SU1602,UUEE,UWWW,"A320,A20N,A321",,1:25,,
SU1680,UUEE,UWKE,"A320,A321,A21N,B738",,1:25,,
SU606,URMM,UDYZ,A320,,1:30,,
SU607,UDYZ,URMM,A320,,1:30,,
SU1183,URWW,UUEE,"A320,A321",,1:30,,
SU1184,UUEE,URWW,"A320,A321,B738",,1:30,,
SU1186,UUEE,URWW,A320,,1:30,,
SU1187,URWW,UUEE,A320,,1:30,,
SU1188,UUEE,URWW,"A320,A321",,1:30,,
SU1191,UWKD,UUEE,"A320,A20N,A321,B738",,1:30,,
SU1215,UWWW,UUEE,"A320,A321",,1:30,,
SU1217,UWWW,UUEE,"A320,A321",,1:30,,
SU1219,UWWW,UUEE,"A320,A321,B738",,1:30,,
SU1254,UUEE,UWKE,"A320,A321,A21N,B738",,1:30,,
SU1292,UUEE,USII,"A320,A321,B738",,1:30,,
SU1296,UUEE,USII,"A320,A321",,1:30,,
SU1396,UUEE,UUYY,"A320,A20N",,1:30,,
SU1603,UWWW,UUEE,"A320,A20N,A321",,1:30,,
SU1605,UWWW,UUEE,"A320,A321,A21N",,1:30,,
SU2842,ULLI,UMKK,A320,,1:30,,
SU2843,UMKK,ULLI,A320,,1:30,,
SU2862,ULLI,ULMM,A320,,1:30,,
SU752,URSS,LTAI,A320,,1:35,,
SU753,LTAI,URSS,A320,,1:35,,
SU1182,UUEE,URWW,"A320,A321",,1:35,,
SU1185,URWW,UUEE,"A320,A321,B738",,1:35,,
SU1189,URWW,UUEE,"A320,A321",,1:35,,
SU1211,UWWW,UUEE,"A320,A321",,1:35,,
SU1213,UWWW,UUEE,"A320,A20N,A321,B738",,1:35,,
SU1251,UWKE,UUEE,"A320,A321,B738",,1:35,,
SU1253,UWKE,UUEE,A320,,1:35,,
SU1255,UWKE,UUEE,"A320,A321,A21N,B738",,1:35,,
SU1397,UUYY,UUEE,"A320,A20N",,1:35,,
